###############################################################
#  Generated by:      Cadence Innovus 21.15-s110_1
#  OS:                Linux x86_64(Host ID A17)
#  Generated on:      Tue May  5 03:13:06 2026
#  Design:            Single_Cycle_Top
#  Command:           report_constraint -all_violators > smvdu_aho32_drvs.txt
###############################################################
# format : frame 1 : split 1

max_delay/setup
---------------------------
     +---------------------------------------------------------+ 
     |            End Point | Slack  |    Cause |         View | 
     |----------------------+--------+----------+--------------| 
     | data_sram/addr0[5] r | -4.473 | VIOLATED | typical_view | 
     | data_sram/addr0[3] r | -1.097 | VIOLATED | typical_view | 
     | data_sram/addr0[2] r | -0.161 | VIOLATED | typical_view | 
     +---------------------------------------------------------+ 

Check type : clock_period
---------------------------
No paths found

Check type : skew
---------------------------
No paths found

Check type : pulse_width
---------------------------
 No violating Checks with given description found

Check type : max_transition
---------------------------
     +--------------------------------------------------------------------+ 
     | Pin Name               | Required | Actual | Slack  | View         | 
     |------------------------+----------+--------+--------+--------------| 
     | data_sram/addr0[5]     | 0.400    | 6.462  | -6.062 | typical_view | 
     | data_sram/web0         | 0.500    | 6.058  | -5.558 | typical_view | 
     | core_top/ALUResult[5]  | 1.500    | 6.295  | -4.795 | typical_view | 
     | core_top/MemWrite      | 1.500    | 5.963  | -4.463 | typical_view | 
     | data_sram/addr0[3]     | 0.400    | 4.743  | -4.343 | typical_view | 
     | data_sram/addr0[2]     | 0.400    | 4.221  | -3.821 | typical_view | 
     | core_top/ALUResult[3]  | 1.500    | 4.514  | -3.014 | typical_view | 
     | data_sram/addr0[1]     | 0.400    | 3.353  | -2.953 | typical_view | 
     | data_sram/addr0[0]     | 0.400    | 3.136  | -2.736 | typical_view | 
     | core_top/ALUResult[2]  | 1.500    | 3.979  | -2.479 | typical_view | 
     | core_top/ALUResult[18] | 1.500    | 3.625  | -2.125 | typical_view | 
     | core_top/ALUResult[28] | 1.500    | 3.547  | -2.047 | typical_view | 
     | core_top/ALUResult[19] | 1.500    | 3.518  | -2.018 | typical_view | 
     | data_sram/addr0[4]     | 0.400    | 2.410  | -2.010 | typical_view | 
     | core_top/ALUResult[26] | 1.500    | 3.477  | -1.977 | typical_view | 
     | data_sram/din0[25]     | 0.500    | 2.475  | -1.975 | typical_view | 
     | core_top/ALUResult[8]  | 1.500    | 3.381  | -1.881 | typical_view | 
     | data_sram/din0[13]     | 0.500    | 2.362  | -1.862 | typical_view | 
     | data_sram/din0[4]      | 0.500    | 2.290  | -1.790 | typical_view | 
     | core_top/ALUResult[1]  | 1.500    | 3.156  | -1.656 | typical_view | 
     | data_sram/din0[0]      | 0.500    | 2.122  | -1.622 | typical_view | 
     | data_sram/din0[29]     | 0.500    | 2.101  | -1.601 | typical_view | 
     | data_sram/din0[28]     | 0.500    | 2.048  | -1.548 | typical_view | 
     | data_sram/din0[1]      | 0.500    | 2.009  | -1.509 | typical_view | 
     | data_sram/din0[24]     | 0.500    | 1.990  | -1.490 | typical_view | 
